15	0.000561
30	0.001037
45	0.001558
60	0.002001
75	0.003092
90	0.010075
105	0.015027
120	0.020834
135	0.033838
150	0.057606
165	0.089760
180	0.127606
195	0.166487
210	0.207097
225	0.245926
240	0.286106
255	0.326609
270	0.368398
285	0.404468
300	0.441543
315	0.483000
330	0.518578
345	0.557632
360	0.599224
375	0.630491
390	0.666930
405	0.708016
420	0.745219
435	0.781447
450	0.813092
465	0.835077
480	0.857801
495	0.892080
510	0.913430
525	0.942741
540	0.963820
555	0.984862
570	1.002652
585	1.003782
