Range(m) 532nmResult 355nmResult
7350.0000 1.0000 1.0000
7353.7500 1.0000 1.0000
7357.5000 1.0000 1.0000
7361.2500 1.0000 1.0000
7365.0000 1.0000 1.0000
7368.7500 1.0000 1.0000
7372.5000 1.0000 1.0000
7376.2500 1.0000 1.0000
7380.0000 1.0000 1.0000
7383.7500 1.0000 1.0000
7387.5000 1.0000 1.0000
7391.2500 1.0000 1.0000
7395.0000 1.0000 1.0000
7398.7500 1.0000 1.0000
7402.5000 1.0000 1.0000
7406.2500 1.0000 1.0000
7410.0000 1.0000 1.0000
7413.7500 1.0000 1.0000
7417.5000 1.0000 1.0000
7421.2500 1.0000 1.0000
7425.0000 1.0000 1.0000
7428.7500 1.0000 1.0000
7432.5000 1.0000 1.0000
7436.2500 1.0000 1.0000
7440.0000 1.0000 1.0000
7443.7500 1.0000 1.0000
7447.5000 1.0000 1.0000
7451.2500 1.0000 1.0000
7455.0000 1.0000 1.0000
7458.7500 1.0000 1.0000
7462.5000 1.0000 1.0000
7466.2500 1.0000 1.0000
7470.0000 1.0000 1.0000
7473.7500 1.0000 1.0000
7477.5000 1.0000 1.0000
7481.2500 1.0000 1.0000
7485.0000 1.0000 1.0000
7488.7500 1.0000 1.0000
7492.5000 1.0000 1.0000
7496.2500 1.0000 1.0000
7500.0000 1.0000 1.0000
7503.7500 1.0000 1.0000
7507.5000 1.0000 1.0000
7511.2500 1.0000 1.0000
7515.0000 1.0000 1.0000
7518.7500 1.0000 1.0000
7522.5000 1.0000 1.0000
7526.2500 1.0000 1.0000
7530.0000 1.0000 1.0000
7533.7500 1.0000 1.0000
7537.5000 1.0000 1.0000
7541.2500 1.0000 1.0000
7545.0000 1.0000 1.0000
7548.7500 1.0000 1.0000
7552.5000 1.0000 1.0000
7556.2500 1.0000 1.0000
7560.0000 1.0000 1.0000
7563.7500 1.0000 1.0000
7567.5000 1.0000 1.0000
7571.2500 1.0000 1.0000
7575.0000 1.0000 1.0000
7578.7500 1.0000 1.0000
7582.5000 1.0000 1.0000
7586.2500 1.0000 1.0000
7590.0000 1.0000 1.0000
7593.7500 1.0000 1.0000
7597.5000 1.0000 1.0000
7601.2500 1.0000 1.0000
7605.0000 1.0000 1.0000
7608.7500 1.0000 1.0000
7612.5000 1.0000 1.0000
7616.2500 1.0000 1.0000
7620.0000 1.0000 1.0000
7623.7500 1.0000 1.0000
7627.5000 1.0000 1.0000
7631.2500 1.0000 1.0000
7635.0000 1.0000 1.0000
7638.7500 1.0000 1.0000
7642.5000 1.0000 1.0000
7646.2500 1.0000 1.0000
7650.0000 1.0000 1.0000
7653.7500 1.0000 1.0000
7657.5000 1.0000 1.0000
7661.2500 1.0000 1.0000
7665.0000 1.0000 1.0000
7668.7500 1.0000 1.0000
7672.5000 1.0000 1.0000
7676.2500 1.0000 1.0000
7680.0000 1.0000 1.0000
7683.7500 1.0000 1.0000
7687.5000 1.0000 1.0000
7691.2500 1.0000 1.0000
7695.0000 1.0000 1.0000
7698.7500 1.0000 1.0000
7702.5000 1.0000 1.0000
7706.2500 1.0000 1.0000
7710.0000 1.0000 1.0000
7713.7500 1.0000 1.0000
7717.5000 1.0000 1.0000
7721.2500 1.0000 1.0000
7725.0000 1.0000 1.0000
7728.7500 1.0000 1.0000
7732.5000 1.0000 1.0000
7736.2500 1.0000 1.0000
7740.0000 1.0000 1.0000
7743.7500 1.0000 1.0000
7747.5000 1.0000 1.0000
7751.2500 1.0000 1.0000
7755.0000 1.0000 1.0000
7758.7500 1.0000 1.0000
7762.5000 1.0000 1.0000
7766.2500 1.0000 1.0000
7770.0000 1.0000 1.0000
7773.7500 1.0000 1.0000
7777.5000 1.0000 1.0000
7781.2500 1.0000 1.0000
7785.0000 1.0000 1.0000
7788.7500 1.0000 1.0000
7792.5000 1.0000 1.0000
7796.2500 1.0000 1.0000
7800.0000 1.0000 1.0000
7803.7500 1.0000 1.0000
7807.5000 1.0000 1.0000
7811.2500 1.0000 1.0000
7815.0000 1.0000 1.0000
7818.7500 1.0000 1.0000
7822.5000 1.0000 1.0000
7826.2500 1.0000 1.0000
7830.0000 1.0000 1.0000
7833.7500 1.0000 1.0000
7837.5000 1.0000 1.0000
7841.2500 1.0000 1.0000
7845.0000 1.0000 1.0000
7848.7500 1.0000 1.0000
7852.5000 1.0000 1.0000
7856.2500 1.0000 1.0000
7860.0000 1.0000 1.0000
7863.7500 1.0000 1.0000
7867.5000 1.0000 1.0000
7871.2500 1.0000 1.0000
7875.0000 1.0000 1.0000
7878.7500 1.0000 1.0000
7882.5000 1.0000 1.0000
7886.2500 1.0000 1.0000
7890.0000 1.0000 1.0000
7893.7500 1.0000 1.0000
7897.5000 1.0000 1.0000
7901.2500 1.0000 1.0000
7905.0000 1.0000 1.0000
7908.7500 1.0000 1.0000
7912.5000 1.0000 1.0000
7916.2500 1.0000 1.0000
7920.0000 1.0000 1.0000
7923.7500 1.0000 1.0000
7927.5000 1.0000 1.0000
7931.2500 1.0000 1.0000
7935.0000 1.0000 1.0000
7938.7500 1.0000 1.0000
7942.5000 1.0000 1.0000
7946.2500 1.0000 1.0000
7950.0000 1.0000 1.0000
7953.7500 1.0000 1.0000
7957.5000 1.0000 1.0000
7961.2500 1.0000 1.0000
7965.0000 1.0000 1.0000
7968.7500 1.0000 1.0000
7972.5000 1.0000 1.0000
7976.2500 1.0000 1.0000
7980.0000 1.0000 1.0000
7983.7500 1.0000 1.0000
7987.5000 1.0000 1.0000
7991.2500 1.0000 1.0000
7995.0000 1.0000 1.0000
7998.7500 1.0000 1.0000
8002.5000 1.0000 1.0000
8006.2500 1.0000 1.0000
8010.0000 1.0000 1.0000
8013.7500 1.0000 1.0000
8017.5000 1.0000 1.0000
8021.2500 1.0000 1.0000
8025.0000 1.0000 1.0000
8028.7500 1.0000 1.0000
8032.5000 1.0000 1.0000
8036.2500 1.0000 1.0000
8040.0000 1.0000 1.0000
8043.7500 1.0000 1.0000
8047.5000 1.0000 1.0000
8051.2500 1.0000 1.0000
8055.0000 1.0000 1.0000
8058.7500 1.0000 1.0000
8062.5000 1.0000 1.0000
8066.2500 1.0000 1.0000
8070.0000 1.0000 1.0000
8073.7500 1.0000 1.0000
8077.5000 1.0000 1.0000
8081.2500 1.0000 1.0000
8085.0000 1.0000 1.0000
8088.7500 1.0000 1.0000
8092.5000 1.0000 1.0000
8096.2500 1.0000 1.0000
8100.0000 1.0000 1.0000
8103.7500 1.0000 1.0000
8107.5000 1.0000 1.0000
8111.2500 1.0000 1.0000
8115.0000 1.0000 1.0000
8118.7500 1.0000 1.0000
8122.5000 1.0000 1.0000
8126.2500 1.0000 1.0000
8130.0000 1.0000 1.0000
8133.7500 1.0000 1.0000
8137.5000 1.0000 1.0000
8141.2500 1.0000 1.0000
8145.0000 1.0000 1.0000
8148.7500 1.0000 1.0000
8152.5000 1.0000 1.0000
8156.2500 1.0000 1.0000
8160.0000 1.0000 1.0000
8163.7500 1.0000 1.0000
8167.5000 1.0000 1.0000
8171.2500 1.0000 1.0000
8175.0000 1.0000 1.0000
8178.7500 1.0000 1.0000
8182.5000 1.0000 1.0000
8186.2500 1.0000 1.0000
8190.0000 1.0000 1.0000
8193.7500 1.0000 1.0000
8197.5000 1.0000 1.0000
8201.2500 1.0000 1.0000
8205.0000 1.0000 1.0000
8208.7500 1.0000 1.0000
8212.5000 1.0000 1.0000
8216.2500 1.0000 1.0000
8220.0000 1.0000 1.0000
8223.7500 1.0000 1.0000
8227.5000 1.0000 1.0000
8231.2500 1.0000 1.0000
8235.0000 1.0000 1.0000
8238.7500 1.0000 1.0000
8242.5000 1.0000 1.0000
8246.2500 1.0000 1.0000
8250.0000 1.0000 1.0000
8253.7500 1.0000 1.0000
8257.5000 1.0000 1.0000
8261.2500 1.0000 1.0000
8265.0000 1.0000 1.0000
8268.7500 1.0000 1.0000
8272.5000 1.0000 1.0000
8276.2500 1.0000 1.0000
8280.0000 1.0000 1.0000
8283.7500 1.0000 1.0000
8287.5000 1.0000 1.0000
8291.2500 1.0000 1.0000
8295.0000 1.0000 1.0000
8298.7500 1.0000 1.0000
8302.5000 1.0000 1.0000
8306.2500 1.0000 1.0000
8310.0000 1.0000 1.0000
8313.7500 1.0000 1.0000
8317.5000 1.0000 1.0000
8321.2500 1.0000 1.0000
8325.0000 1.0000 1.0000
8328.7500 1.0000 1.0000
8332.5000 1.0000 1.0000
8336.2500 1.0000 1.0000
8340.0000 1.0000 1.0000
8343.7500 1.0000 1.0000
8347.5000 1.0000 1.0000
8351.2500 1.0000 1.0000
8355.0000 1.0000 1.0000
8358.7500 1.0000 1.0000
8362.5000 1.0000 1.0000
8366.2500 1.0000 1.0000
8370.0000 1.0000 1.0000
8373.7500 1.0000 1.0000
8377.5000 1.0000 1.0000
8381.2500 1.0000 1.0000
8385.0000 1.0000 1.0000
8388.7500 1.0000 1.0000
8392.5000 1.0000 1.0000
8396.2500 1.0000 1.0000
8400.0000 1.0000 1.0000
8403.7500 1.0000 1.0000
8407.5000 1.0000 1.0000
8411.2500 1.0000 1.0000
8415.0000 1.0000 1.0000
8418.7500 1.0000 1.0000
8422.5000 1.0000 1.0000
8426.2500 1.0000 1.0000
8430.0000 1.0000 1.0000
8433.7500 1.0000 1.0000
8437.5000 1.0000 1.0000
8441.2500 1.0000 1.0000
8445.0000 1.0000 1.0000
8448.7500 1.0000 1.0000
8452.5000 1.0000 1.0000
8456.2500 1.0000 1.0000
8460.0000 1.0000 1.0000
8463.7500 1.0000 1.0000
8467.5000 1.0000 1.0000
8471.2500 1.0000 1.0000
8475.0000 1.0000 1.0000
8478.7500 1.0000 1.0000
8482.5000 1.0000 1.0000
8486.2500 1.0000 1.0000
8490.0000 1.0000 1.0000
8493.7500 1.0000 1.0000
8497.5000 1.0000 1.0000
8501.2500 1.0000 1.0000
8505.0000 1.0000 1.0000
8508.7500 1.0000 1.0000
8512.5000 1.0000 1.0000
8516.2500 1.0000 1.0000
8520.0000 1.0000 1.0000
8523.7500 1.0000 1.0000
8527.5000 1.0000 1.0000
8531.2500 1.0000 1.0000
8535.0000 1.0000 1.0000
8538.7500 1.0000 1.0000
8542.5000 1.0000 1.0000
8546.2500 1.0000 1.0000
8550.0000 1.0000 1.0000
8553.7500 1.0000 1.0000
8557.5000 1.0000 1.0000
8561.2500 1.0000 1.0000
8565.0000 1.0000 1.0000
8568.7500 1.0000 1.0000
8572.5000 1.0000 1.0000
8576.2500 1.0000 1.0000
8580.0000 1.0000 1.0000
8583.7500 1.0000 1.0000
8587.5000 1.0000 1.0000
8591.2500 1.0000 1.0000
8595.0000 1.0000 1.0000
8598.7500 1.0000 1.0000
8602.5000 1.0000 1.0000
8606.2500 1.0000 1.0000
8610.0000 1.0000 1.0000
8613.7500 1.0000 1.0000
8617.5000 1.0000 1.0000
8621.2500 1.0000 1.0000
8625.0000 1.0000 1.0000
8628.7500 1.0000 1.0000
8632.5000 1.0000 1.0000
8636.2500 1.0000 1.0000
8640.0000 1.0000 1.0000
8643.7500 1.0000 1.0000
8647.5000 1.0000 1.0000
8651.2500 1.0000 1.0000
8655.0000 1.0000 1.0000
8658.7500 1.0000 1.0000
8662.5000 1.0000 1.0000
8666.2500 1.0000 1.0000
8670.0000 1.0000 1.0000
8673.7500 1.0000 1.0000
8677.5000 1.0000 1.0000
8681.2500 1.0000 1.0000
8685.0000 1.0000 1.0000
8688.7500 1.0000 1.0000
8692.5000 1.0000 1.0000
8696.2500 1.0000 1.0000
8700.0000 1.0000 1.0000
8703.7500 1.0000 1.0000
8707.5000 1.0000 1.0000
8711.2500 1.0000 1.0000
8715.0000 1.0000 1.0000
8718.7500 1.0000 1.0000
8722.5000 1.0000 1.0000
8726.2500 1.0000 1.0000
8730.0000 1.0000 1.0000
8733.7500 1.0000 1.0000
8737.5000 1.0000 1.0000
8741.2500 1.0000 1.0000
8745.0000 1.0000 1.0000
8748.7500 1.0000 1.0000
8752.5000 1.0000 1.0000
8756.2500 1.0000 1.0000
8760.0000 1.0000 1.0000
8763.7500 1.0000 1.0000
8767.5000 1.0000 1.0000
8771.2500 1.0000 1.0000
8775.0000 1.0000 1.0000
8778.7500 1.0000 1.0000
8782.5000 1.0000 1.0000
8786.2500 1.0000 1.0000
8790.0000 1.0000 1.0000
8793.7500 1.0000 1.0000
8797.5000 1.0000 1.0000
8801.2500 1.0000 1.0000
8805.0000 1.0000 1.0000
8808.7500 1.0000 1.0000
8812.5000 1.0000 1.0000
8816.2500 1.0000 1.0000
8820.0000 1.0000 1.0000
8823.7500 1.0000 1.0000
8827.5000 1.0000 1.0000
8831.2500 1.0000 1.0000
8835.0000 1.0000 1.0000
8838.7500 1.0000 1.0000
8842.5000 1.0000 1.0000
8846.2500 1.0000 1.0000
8850.0000 1.0000 1.0000
8853.7500 1.0000 1.0000
8857.5000 1.0000 1.0000
8861.2500 1.0000 1.0000
8865.0000 1.0000 1.0000
8868.7500 1.0000 1.0000
8872.5000 1.0000 1.0000
8876.2500 1.0000 1.0000
8880.0000 1.0000 1.0000
8883.7500 1.0000 1.0000
8887.5000 1.0000 1.0000
8891.2500 1.0000 1.0000
8895.0000 1.0000 1.0000
8898.7500 1.0000 1.0000
8902.5000 1.0000 1.0000
8906.2500 1.0000 1.0000
8910.0000 1.0000 1.0000
8913.7500 1.0000 1.0000
8917.5000 1.0000 1.0000
8921.2500 1.0000 1.0000
8925.0000 1.0000 1.0000
8928.7500 1.0000 1.0000
8932.5000 1.0000 1.0000
8936.2500 1.0000 1.0000
8940.0000 1.0000 1.0000
8943.7500 1.0000 1.0000
8947.5000 1.0000 1.0000
8951.2500 1.0000 1.0000
8955.0000 1.0000 1.0000
8958.7500 1.0000 1.0000
8962.5000 1.0000 1.0000
8966.2500 1.0000 1.0000
8970.0000 1.0000 1.0000
8973.7500 1.0000 1.0000
8977.5000 1.0000 1.0000
8981.2500 1.0000 1.0000
8985.0000 1.0000 1.0000
8988.7500 1.0000 1.0000
8992.5000 1.0000 1.0000
8996.2500 1.0000 1.0000
9000.0000 1.0000 1.0000
9003.7500 1.0000 1.0000
9007.5000 1.0000 1.0000
9011.2500 1.0000 1.0000
9015.0000 1.0000 1.0000
9018.7500 1.0000 1.0000
9022.5000 1.0000 1.0000
9026.2500 1.0000 1.0000
9030.0000 1.0000 1.0000
9033.7500 1.0000 1.0000
9037.5000 1.0000 1.0000
9041.2500 1.0000 1.0000
9045.0000 1.0000 1.0000
9048.7500 1.0000 1.0000
9052.5000 1.0000 1.0000
9056.2500 1.0000 1.0000
9060.0000 1.0000 1.0000
9063.7500 1.0000 1.0000
9067.5000 1.0000 1.0000
9071.2500 1.0000 1.0000
9075.0000 1.0000 1.0000
9078.7500 1.0000 1.0000
9082.5000 1.0000 1.0000
9086.2500 1.0000 1.0000
9090.0000 1.0000 1.0000
9093.7500 1.0000 1.0000
9097.5000 1.0000 1.0000
9101.2500 1.0000 1.0000
9105.0000 1.0000 1.0000
9108.7500 1.0000 1.0000
9112.5000 1.0000 1.0000
9116.2500 1.0000 1.0000
9120.0000 1.0000 1.0000
9123.7500 1.0000 1.0000
9127.5000 1.0000 1.0000
9131.2500 1.0000 1.0000
9135.0000 1.0000 1.0000
9138.7500 1.0000 1.0000
9142.5000 1.0000 1.0000
9146.2500 1.0000 1.0000
9150.0000 1.0000 1.0000
9153.7500 1.0000 1.0000
9157.5000 1.0000 1.0000
9161.2500 1.0000 1.0000
9165.0000 1.0000 1.0000
9168.7500 1.0000 1.0000
9172.5000 1.0000 1.0000
9176.2500 1.0000 1.0000
9180.0000 1.0000 1.0000
9183.7500 1.0000 1.0000
9187.5000 1.0000 1.0000
9191.2500 1.0000 1.0000
9195.0000 1.0000 1.0000
9198.7500 1.0000 1.0000
9202.5000 1.0000 1.0000
9206.2500 1.0000 1.0000
9210.0000 1.0000 1.0000
9213.7500 1.0000 1.0000
9217.5000 1.0000 1.0000
9221.2500 1.0000 1.0000
9225.0000 1.0000 1.0000
9228.7500 1.0000 1.0000
9232.5000 1.0000 1.0000
9236.2500 1.0000 1.0000
9240.0000 1.0000 1.0000
9243.7500 1.0000 1.0000
9247.5000 1.0000 1.0000
9251.2500 1.0000 1.0000
9255.0000 1.0000 1.0000
9258.7500 1.0000 1.0000
9262.5000 1.0000 1.0000
9266.2500 1.0000 1.0000
9270.0000 1.0000 1.0000
9273.7500 1.0000 1.0000
9277.5000 1.0000 1.0000
9281.2500 1.0000 1.0000
9285.0000 1.0000 1.0000
9288.7500 1.0000 1.0000
9292.5000 1.0000 1.0000
9296.2500 1.0000 1.0000
9300.0000 1.0000 1.0000
9303.7500 1.0000 1.0000
9307.5000 1.0000 1.0000
9311.2500 1.0000 1.0000
9315.0000 1.0000 1.0000
9318.7500 1.0000 1.0000
9322.5000 1.0000 1.0000
9326.2500 1.0000 1.0000
9330.0000 1.0000 1.0000
9333.7500 1.0000 1.0000
9337.5000 1.0000 1.0000
9341.2500 1.0000 1.0000
9345.0000 1.0000 1.0000
9348.7500 1.0000 1.0000
9352.5000 1.0000 1.0000
9356.2500 1.0000 1.0000
9360.0000 1.0000 1.0000
9363.7500 1.0000 1.0000
9367.5000 1.0000 1.0000
9371.2500 1.0000 1.0000
9375.0000 1.0000 1.0000
9378.7500 1.0000 1.0000
9382.5000 1.0000 1.0000
9386.2500 1.0000 1.0000
9390.0000 1.0000 1.0000
9393.7500 1.0000 1.0000
9397.5000 1.0000 1.0000
9401.2500 1.0000 1.0000
9405.0000 1.0000 1.0000
9408.7500 1.0000 1.0000
9412.5000 1.0000 1.0000
9416.2500 1.0000 1.0000
9420.0000 1.0000 1.0000
9423.7500 1.0000 1.0000
9427.5000 1.0000 1.0000
9431.2500 1.0000 1.0000
9435.0000 1.0000 1.0000
9438.7500 1.0000 1.0000
9442.5000 1.0000 1.0000
9446.2500 1.0000 1.0000
9450.0000 1.0000 1.0000
9453.7500 1.0000 1.0000
9457.5000 1.0000 1.0000
9461.2500 1.0000 1.0000
9465.0000 1.0000 1.0000
9468.7500 1.0000 1.0000
9472.5000 1.0000 1.0000
9476.2500 1.0000 1.0000
9480.0000 1.0000 1.0000
9483.7500 1.0000 1.0000
9487.5000 1.0000 1.0000
9491.2500 1.0000 1.0000
9495.0000 1.0000 1.0000
9498.7500 1.0000 1.0000
9502.5000 1.0000 1.0000
9506.2500 1.0000 1.0000
9510.0000 1.0000 1.0000
9513.7500 1.0000 1.0000
9517.5000 1.0000 1.0000
9521.2500 1.0000 1.0000
9525.0000 1.0000 1.0000
9528.7500 1.0000 1.0000
9532.5000 1.0000 1.0000
9536.2500 1.0000 1.0000
9540.0000 1.0000 1.0000
9543.7500 1.0000 1.0000
9547.5000 1.0000 1.0000
9551.2500 1.0000 1.0000
9555.0000 1.0000 1.0000
9558.7500 1.0000 1.0000
9562.5000 1.0000 1.0000
9566.2500 1.0000 1.0000
9570.0000 1.0000 1.0000
9573.7500 1.0000 1.0000
9577.5000 1.0000 1.0000
9581.2500 1.0000 1.0000
9585.0000 1.0000 1.0000
9588.7500 1.0000 1.0000
9592.5000 1.0000 1.0000
9596.2500 1.0000 1.0000
9600.0000 1.0000 1.0000
9603.7500 1.0000 1.0000
9607.5000 1.0000 1.0000
9611.2500 1.0000 1.0000
9615.0000 1.0000 1.0000
9618.7500 1.0000 1.0000
9622.5000 1.0000 1.0000
9626.2500 1.0000 1.0000
9630.0000 1.0000 1.0000
9633.7500 1.0000 1.0000
9637.5000 1.0000 1.0000
9641.2500 1.0000 1.0000
9645.0000 1.0000 1.0000
9648.7500 1.0000 1.0000
9652.5000 1.0000 1.0000
9656.2500 1.0000 1.0000
9660.0000 1.0000 1.0000
9663.7500 1.0000 1.0000
9667.5000 1.0000 1.0000
9671.2500 1.0000 1.0000
9675.0000 1.0000 1.0000
9678.7500 1.0000 1.0000
9682.5000 1.0000 1.0000
9686.2500 1.0000 1.0000
9690.0000 1.0000 1.0000
9693.7500 1.0000 1.0000
9697.5000 1.0000 1.0000
9701.2500 1.0000 1.0000
9705.0000 1.0000 1.0000
9708.7500 1.0000 1.0000
9712.5000 1.0000 1.0000
9716.2500 1.0000 1.0000
9720.0000 1.0000 1.0000
9723.7500 1.0000 1.0000
9727.5000 1.0000 1.0000
9731.2500 1.0000 1.0000
9735.0000 1.0000 1.0000
9738.7500 1.0000 1.0000
9742.5000 1.0000 1.0000
9746.2500 1.0000 1.0000
9750.0000 1.0000 1.0000
9753.7500 1.0000 1.0000
9757.5000 1.0000 1.0000
9761.2500 1.0000 1.0000
9765.0000 1.0000 1.0000
9768.7500 1.0000 1.0000
9772.5000 1.0000 1.0000
9776.2500 1.0000 1.0000
9780.0000 1.0000 1.0000
9783.7500 1.0000 1.0000
9787.5000 1.0000 1.0000
9791.2500 1.0000 1.0000
9795.0000 1.0000 1.0000
9798.7500 1.0000 1.0000
9802.5000 1.0000 1.0000
9806.2500 1.0000 1.0000
9810.0000 1.0000 1.0000
9813.7500 1.0000 1.0000
9817.5000 1.0000 1.0000
9821.2500 1.0000 1.0000
9825.0000 1.0000 1.0000
9828.7500 1.0000 1.0000
9832.5000 1.0000 1.0000
9836.2500 1.0000 1.0000
9840.0000 1.0000 1.0000
9843.7500 1.0000 1.0000
9847.5000 1.0000 1.0000
9851.2500 1.0000 1.0000
9855.0000 1.0000 1.0000
9858.7500 1.0000 1.0000
9862.5000 1.0000 1.0000
9866.2500 1.0000 1.0000
9870.0000 1.0000 1.0000
9873.7500 1.0000 1.0000
9877.5000 1.0000 1.0000
9881.2500 1.0000 1.0000
9885.0000 1.0000 1.0000
9888.7500 1.0000 1.0000
9892.5000 1.0000 1.0000
9896.2500 1.0000 1.0000
9900.0000 1.0000 1.0000
9903.7500 1.0000 1.0000
9907.5000 1.0000 1.0000
9911.2500 1.0000 1.0000
9915.0000 1.0000 1.0000
9918.7500 1.0000 1.0000
9922.5000 1.0000 1.0000
9926.2500 1.0000 1.0000
9930.0000 1.0000 1.0000
9933.7500 1.0000 1.0000
9937.5000 1.0000 1.0000
9941.2500 1.0000 1.0000
9945.0000 1.0000 1.0000
9948.7500 1.0000 1.0000
9952.5000 1.0000 1.0000
9956.2500 1.0000 1.0000
9960.0000 1.0000 1.0000
9963.7500 1.0000 1.0000
9967.5000 1.0000 1.0000
9971.2500 1.0000 1.0000
9975.0000 1.0000 1.0000
9978.7500 1.0000 1.0000
9982.5000 1.0000 1.0000
9986.2500 1.0000 1.0000
9990.0000 1.0000 1.0000
9993.7500 1.0000 1.0000
9997.5000 1.0000 1.0000
10001.2500 1.0000 1.0000
10005.0000 1.0000 1.0000
10008.7500 1.0000 1.0000
10012.5000 1.0000 1.0000
10016.2500 1.0000 1.0000
10020.0000 1.0000 1.0000
10023.7500 1.0000 1.0000
10027.5000 1.0000 1.0000
10031.2500 1.0000 1.0000
10035.0000 1.0000 1.0000
10038.7500 1.0000 1.0000
10042.5000 1.0000 1.0000
10046.2500 1.0000 1.0000
10050.0000 1.0000 1.0000
10053.7500 1.0000 1.0000
10057.5000 1.0000 1.0000
10061.2500 1.0000 1.0000
10065.0000 1.0000 1.0000
10068.7500 1.0000 1.0000
10072.5000 1.0000 1.0000
10076.2500 1.0000 1.0000
10080.0000 1.0000 1.0000
10083.7500 1.0000 1.0000
10087.5000 1.0000 1.0000
10091.2500 1.0000 1.0000
10095.0000 1.0000 1.0000
10098.7500 1.0000 1.0000
10102.5000 1.0000 1.0000
10106.2500 1.0000 1.0000
10110.0000 1.0000 1.0000
10113.7500 1.0000 1.0000
10117.5000 1.0000 1.0000
10121.2500 1.0000 1.0000
10125.0000 1.0000 1.0000
10128.7500 1.0000 1.0000
10132.5000 1.0000 1.0000
10136.2500 1.0000 1.0000
10140.0000 1.0000 1.0000
10143.7500 1.0000 1.0000
10147.5000 1.0000 1.0000
10151.2500 1.0000 1.0000
10155.0000 1.0000 1.0000
10158.7500 1.0000 1.0000
10162.5000 1.0000 1.0000
10166.2500 1.0000 1.0000
10170.0000 1.0000 1.0000
10173.7500 1.0000 1.0000
10177.5000 1.0000 1.0000
10181.2500 1.0000 1.0000
10185.0000 1.0000 1.0000
10188.7500 1.0000 1.0000
10192.5000 1.0000 1.0000
10196.2500 1.0000 1.0000
10200.0000 1.0000 1.0000
10203.7500 1.0000 1.0000
10207.5000 1.0000 1.0000
10211.2500 1.0000 1.0000
10215.0000 1.0000 1.0000
10218.7500 1.0000 1.0000
10222.5000 1.0000 1.0000
10226.2500 1.0000 1.0000
10230.0000 1.0000 1.0000
10233.7500 1.0000 1.0000
10237.5000 1.0000 1.0000
10241.2500 1.0000 1.0000
10245.0000 1.0000 1.0000
10248.7500 1.0000 1.0000
10252.5000 1.0000 1.0000
10256.2500 1.0000 1.0000
10260.0000 1.0000 1.0000
10263.7500 1.0000 1.0000
10267.5000 1.0000 1.0000
10271.2500 1.0000 1.0000
10275.0000 1.0000 1.0000
10278.7500 1.0000 1.0000
10282.5000 1.0000 1.0000
10286.2500 1.0000 1.0000
10290.0000 1.0000 1.0000
10293.7500 1.0000 1.0000
10297.5000 1.0000 1.0000
10301.2500 1.0000 1.0000
10305.0000 1.0000 1.0000
10308.7500 1.0000 1.0000
10312.5000 1.0000 1.0000
10316.2500 1.0000 1.0000
10320.0000 1.0000 1.0000
10323.7500 1.0000 1.0000
10327.5000 1.0000 1.0000
10331.2500 1.0000 1.0000
10335.0000 1.0000 1.0000
10338.7500 1.0000 1.0000
10342.5000 1.0000 1.0000
10346.2500 1.0000 1.0000
10350.0000 1.0000 1.0000
10353.7500 1.0000 1.0000
10357.5000 1.0000 1.0000
10361.2500 1.0000 1.0000
10365.0000 1.0000 1.0000
10368.7500 1.0000 1.0000
10372.5000 1.0000 1.0000
10376.2500 1.0000 1.0000
10380.0000 1.0000 1.0000
10383.7500 1.0000 1.0000
10387.5000 1.0000 1.0000
10391.2500 1.0000 1.0000
10395.0000 1.0000 1.0000
10398.7500 1.0000 1.0000
10402.5000 1.0000 1.0000
10406.2500 1.0000 1.0000
10410.0000 1.0000 1.0000
10413.7500 1.0000 1.0000
10417.5000 1.0000 1.0000
10421.2500 1.0000 1.0000
10425.0000 1.0000 1.0000
10428.7500 1.0000 1.0000
10432.5000 1.0000 1.0000
10436.2500 1.0000 1.0000
10440.0000 1.0000 1.0000
10443.7500 1.0000 1.0000
10447.5000 1.0000 1.0000
10451.2500 1.0000 1.0000
10455.0000 1.0000 1.0000
10458.7500 1.0000 1.0000
10462.5000 1.0000 1.0000
10466.2500 1.0000 1.0000
10470.0000 1.0000 1.0000
10473.7500 1.0000 1.0000
10477.5000 1.0000 1.0000
10481.2500 1.0000 1.0000
10485.0000 1.0000 1.0000
10488.7500 1.0000 1.0000
10492.5000 1.0000 1.0000
10496.2500 1.0000 1.0000
10500.0000 1.0000 1.0000
10503.7500 1.0000 1.0000
10507.5000 1.0000 1.0000
10511.2500 1.0000 1.0000
10515.0000 1.0000 1.0000
10518.7500 1.0000 1.0000
10522.5000 1.0000 1.0000
10526.2500 1.0000 1.0000
10530.0000 1.0000 1.0000
10533.7500 1.0000 1.0000
10537.5000 1.0000 1.0000
10541.2500 1.0000 1.0000
10545.0000 1.0000 1.0000
10548.7500 1.0000 1.0000
10552.5000 1.0000 1.0000
10556.2500 1.0000 1.0000
10560.0000 1.0000 1.0000
10563.7500 1.0000 1.0000
10567.5000 1.0000 1.0000
10571.2500 1.0000 1.0000
10575.0000 1.0000 1.0000
10578.7500 1.0000 1.0000
10582.5000 1.0000 1.0000
10586.2500 1.0000 1.0000
10590.0000 1.0000 1.0000
10593.7500 1.0000 1.0000
10597.5000 1.0000 1.0000
10601.2500 1.0000 1.0000
10605.0000 1.0000 1.0000
10608.7500 1.0000 1.0000
10612.5000 1.0000 1.0000
10616.2500 1.0000 1.0000
10620.0000 1.0000 1.0000
