Range(m) 532nmResult 355nmResult
798.7500 1.0000 1.0000
802.5000 1.0000 1.0000
806.2500 1.0000 1.0000
810.0000 1.0000 1.0000
813.7500 1.0000 1.0000
817.5000 1.0000 1.0000
821.2500 1.0000 1.0000
825.0000 1.0000 1.0000
828.7500 1.0000 1.0000
832.5000 1.0000 1.0000
836.2500 1.0000 1.0000
840.0000 1.0000 1.0000
843.7500 1.0000 1.0000
847.5000 1.0000 1.0000
851.2500 1.0000 1.0000
855.0000 1.0000 1.0000
858.7500 1.0000 1.0000
862.5000 1.0000 1.0000
866.2500 1.0000 1.0000
870.0000 1.0000 1.0000
873.7500 1.0000 1.0000
877.5000 1.0000 1.0000
881.2500 1.0000 1.0000
885.0000 1.0000 1.0000
888.7500 1.0000 1.0000
892.5000 1.0000 1.0000
896.2500 1.0000 1.0000
900.0000 1.0000 1.0000
903.7500 1.0000 1.0000
907.5000 1.0000 1.0000
911.2500 1.0000 1.0000
915.0000 1.0000 1.0000
918.7500 1.0000 1.0000
922.5000 1.0000 1.0000
926.2500 1.0000 1.0000
930.0000 1.0000 1.0000
933.7500 1.0000 1.0000
937.5000 1.0000 1.0000
941.2500 1.0000 1.0000
945.0000 1.0000 1.0000
948.7500 1.0000 1.0000
952.5000 1.0000 1.0000
956.2500 1.0000 1.0000
960.0000 1.0000 1.0000
963.7500 1.0000 1.0000
967.5000 1.0000 1.0000
971.2500 1.0000 1.0000
975.0000 1.0000 1.0000
978.7500 1.0000 1.0000
982.5000 1.0000 1.0000
986.2500 1.0000 1.0000
990.0000 1.0000 1.0000
993.7500 1.0000 1.0000
997.5000 1.0000 1.0000
1001.2500 1.0000 1.0000
1005.0000 1.0000 1.0000
1008.7500 1.0000 1.0000
1012.5000 1.0000 1.0000
1016.2500 1.0000 1.0000
1020.0000 1.0000 1.0000
1023.7500 1.0000 1.0000
1027.5000 1.0000 1.0000
1031.2500 1.0000 1.0000
1035.0000 1.0000 1.0000
1038.7500 1.0000 1.0000
1042.5000 1.0000 1.0000
1046.2500 1.0000 1.0000
1050.0000 1.0000 1.0000
1053.7500 1.0000 1.0000
1057.5000 1.0000 1.0000
1061.2500 1.0000 1.0000
1065.0000 1.0000 1.0000
1068.7500 1.0000 1.0000
1072.5000 1.0000 1.0000
1076.2500 1.0000 1.0000
1080.0000 1.0000 1.0000
1083.7500 1.0000 1.0000
1087.5000 1.0000 1.0000
1091.2500 1.0000 1.0000
1095.0000 1.0000 1.0000
1098.7500 1.0000 1.0000
1102.5000 1.0000 1.0000
1106.2500 1.0000 1.0000
1110.0000 1.0000 1.0000
1113.7500 1.0000 1.0000
1117.5000 1.0000 1.0000
1121.2500 1.0000 1.0000
1125.0000 1.0000 1.0000
1128.7500 1.0000 1.0000
1132.5000 1.0000 1.0000
1136.2500 1.0000 1.0000
1140.0000 1.0000 1.0000
1143.7500 1.0000 1.0000
1147.5000 1.0000 1.0000
1151.2500 1.0000 1.0000
1155.0000 1.0000 1.0000
1158.7500 1.0000 1.0000
1162.5000 1.0000 1.0000
1166.2500 1.0000 1.0000
1170.0000 1.0000 1.0000
1173.7500 1.0000 1.0000
1177.5000 1.0000 1.0000
1181.2500 1.0000 1.0000
1185.0000 1.0000 1.0000
1188.7500 1.0000 1.0000
1192.5000 1.0000 1.0000
1196.2500 1.0000 1.0000
1200.0000 1.0000 1.0000
1203.7500 1.0000 1.0000
1207.5000 1.0000 1.0000
1211.2500 1.0000 1.0000
1215.0000 1.0000 1.0000
1218.7500 1.0000 1.0000
1222.5000 1.0000 1.0000
1226.2500 1.0000 1.0000
1230.0000 1.0000 1.0000
1233.7500 1.0000 1.0000
1237.5000 1.0000 1.0000
1241.2500 1.0000 1.0000
1245.0000 1.0000 1.0000
1248.7500 1.0000 1.0000
1252.5000 1.0000 1.0000
1256.2500 1.0000 1.0000
1260.0000 1.0000 1.0000
1263.7500 1.0000 1.0000
1267.5000 1.0000 1.0000
1271.2500 1.0000 1.0000
1275.0000 1.0000 1.0000
1278.7500 1.0000 1.0000
1282.5000 1.0000 1.0000
1286.2500 1.0000 1.0000
1290.0000 1.0000 1.0000
1293.7500 1.0000 1.0000
1297.5000 1.0000 1.0000
1301.2500 1.0000 1.0000
1305.0000 1.0000 1.0000
1308.7500 1.0000 1.0000
1312.5000 1.0000 1.0000
1316.2500 1.0000 1.0000
1320.0000 1.0000 1.0000
1323.7500 1.0000 1.0000
1327.5000 1.0000 1.0000
1331.2500 1.0000 1.0000
1335.0000 1.0000 1.0000
1338.7500 1.0000 1.0000
1342.5000 1.0000 1.0000
1346.2500 1.0000 1.0000
1350.0000 1.0000 1.0000
1353.7500 1.0000 1.0000
1357.5000 1.0000 1.0000
1361.2500 1.0000 1.0000
1365.0000 1.0000 1.0000
1368.7500 1.0000 1.0000
1372.5000 1.0000 1.0000
1376.2500 1.0000 1.0000
1380.0000 1.0000 1.0000
1383.7500 1.0000 1.0000
1387.5000 1.0000 1.0000
1391.2500 1.0000 1.0000
1395.0000 1.0000 1.0000
1398.7500 1.0000 1.0000
1402.5000 1.0000 1.0000
1406.2500 1.0000 1.0000
1410.0000 1.0000 1.0000
1413.7500 1.0000 1.0000
1417.5000 1.0000 1.0000
1421.2500 1.0000 1.0000
1425.0000 1.0000 1.0000
1428.7500 1.0000 1.0000
1432.5000 1.0000 1.0000
1436.2500 1.0000 1.0000
1440.0000 1.0000 1.0000
1443.7500 1.0000 1.0000
1447.5000 1.0000 1.0000
