Range(m) Channel1 Channel2
1605 0.850204581 0.869555987
1620 0.863091976 0.873948426
1635 0.881834809 0.870599527
1650 0.896840364 0.871344949
1665 0.915989482 0.875004483
1680 0.923261317 0.886288881
1695 0.935834922 0.885177427
1710 0.942568758 0.882174741
1725 0.939612522 0.86046986
1740 0.936843962 0.869875982
1755 0.929211692 0.868781039
1770 0.929028026 0.886151516
1785 0.923534799 0.879064208
1800 0.919649379 0.879844768
1815 0.92302969 0.889118143
1830 0.908921902 0.890475454
1845 0.907186518 0.888290928
1860 0.900991004 0.888087739
1875 0.900503605 0.892840169
1890 0.891232177 0.902796134
1905 0.894745391 0.891651565
1920 0.888801678 0.902752946
1935 0.886625168 0.903245671
1950 0.890543834 0.911855358
1965 0.889607849 0.904890087
1980 0.892371594 0.902438705
1995 0.901787787 0.900905806
2010 0.904346625 0.897389398
2025 0.910550858 0.900382456
2040 0.916748208 0.898799654
2055 0.929423174 0.880010367
2070 0.929500118 0.880134799
2085 0.93616734 0.893393132
2100 0.939190775 0.900552193
2115 0.95163894 0.915527514
2130 0.94827084 0.895944419
2145 0.951628877 0.902397823
2160 0.960570526 0.900675038
2175 0.958250475 0.926894
2190 0.957160843 0.923560343
2205 0.96731161 0.915815791
2220 0.96571943 0.915567147
2235 0.969108001 0.931565111
2250 0.968967932 0.928150623
2265 0.963899775 0.950014373
2280 0.966823757 0.945837168
2295 0.962468031 0.93431871
2310 0.967990144 0.928734939
2325 0.972252521 0.935832098
2340 0.971704919 0.969290583
2355 0.966493561 0.956371872
2370 0.964913984 0.95853191
2385 0.972243477 0.976975567
2400 0.969680518 0.965996016
2415 0.968771709 0.959531441
2430 0.966651251 0.964680088
2445 0.971218557 0.970238644
2460 0.962390653 0.986236213
2475 0.958877016 0.969608521
2490 0.957775451 0.993205292
2505 0.965963878 0.985540683
2520 0.967780615 0.999068796
2535 0.966603716 0.979847854
2550 0.969341928 1.006215498
2565 0.972997568 0.989735409
2580 0.965471842 1
2595 0.975502349 1
2610 0.977496839 1
2625 0.973465325 1
2640 0.977522488 1
2655 0.974885491 1
2670 0.97839725 1
2685 0.977175203 1
2700 0.990202996 1
2715 0.988440359 1
2730 0.979856537 1
2745 0.990435897 1
2760 0.987949453 1
2775 0.982665643 1
2790 0.989249734 1
2805 0.988731662 1
2820 0.991323616 1
2835 0.998248611 1
2850 0.998664734 1
2865 0.997561873 1
2880 0.9871821 1
2895 0.99188839 1
2910 0.990868164 1
2925 0.989002586 1
2940 0.989310042 1
2955 0.996037865 1
2970 0.999419178 1
2985 0.998604933 1
3000 1 1
3015 1 1
3030 1 1
3045 1 1
3060 1 1
3075 1 1
3090 1 1
3105 1 1
3120 1 1
3135 1 1
3150 1 1
3165 1 1
3180 1 1
3195 1 1
3210 1 1
3225 1 1
3240 1 1
3255 1 1
3270 1 1
3285 1 1
3300 1 1
3315 1 1
3330 1 1
3345 1 1
3360 1 1
3375 1 1
3390 1 1
3405 1 1
3420 1 1
3435 1 1
3450 1 1
3465 1 1
3480 1 1
3495 1 1
3510 1 1
3525 1 1
3540 1 1
3555 1 1
3570 1 1
3585 1 1
3600 1 1
3615 1 1
3630 1 1
3645 1 1
3660 1 1
3675 1 1
3690 1 1
3705 1 1
3720 1 1
3735 1 1
3750 1 1
3765 1 1
3780 1 1
3795 1 1
3810 1 1
3825 1 1
3840 1 1
3855 1 1
3870 1 1
3885 1 1
3900 1 1
3915 1 1
3930 1 1
3945 1 1
3960 1 1
3975 1 1
3990 1 1
4005 1 1
4020 1 1
4035 1 1
4050 1 1
4065 1 1
4080 1 1
4095 1 1
4110 1 1
4125 1 1
4140 1 1
4155 1 1
4170 1 1
4185 1 1
4200 1 1
4215 1 1
4230 1 1
4245 1 1
4260 1 1
4275 1 1
4290 1 1
4305 1 1
4320 1 1
4335 1 1
4350 1 1
4365 1 1
4380 1 1
4395 1 1
4410 1 1
4425 1 1
4440 1 1
4455 1 1
4470 1 1
4485 1 1
4500 1 1
4515 1 1
4530 1 1
4545 1 1
4560 1 1
4575 1 1
4590 1 1
4605 1 1
4620 1 1
4635 1 1
4650 1 1
4665 1 1
4680 1 1
4695 1 1
4710 1 1
4725 1 1
4740 1 1
4755 1 1
4770 1 1
4785 1 1
4800 1 1
4815 1 1
4830 1 1
4845 1 1
4860 1 1
4875 1 1
4890 1 1
4905 1 1
4920 1 1
4935 1 1
4950 1 1
4965 1 1
4980 1 1
4995 1 1
5010 1 1
5025 1 1
5040 1 1
5055 1 1
5070 1 1
5085 1 1
5100 1 1
5115 1 1
5130 1 1
5145 1 1
5160 1 1
5175 1 1
5190 1 1
5205 1 1
5220 1 1
5235 1 1
5250 1 1
5265 1 1
5280 1 1
5295 1 1
5310 1 1
5325 1 1
5340 1 1
5355 1 1
5370 1 1
5385 1 1
5400 1 1
5415 1 1
5430 1 1
5445 1 1
5460 1 1
5475 1 1
5490 1 1
5505 1 1
5520 1 1
5535 1 1
5550 1 1
5565 1 1
5580 1 1
5595 1 1
5610 1 1
5625 1 1
5640 1 1
5655 1 1
5670 1 1
5685 1 1
5700 1 1
5715 1 1
5730 1 1
5745 1 1
5760 1 1
5775 1 1
5790 1 1
5805 1 1
5820 1 1
5835 1 1
5850 1 1
5865 1 1
5880 1 1
5895 1 1
5910 1 1
5925 1 1
5940 1 1
5955 1 1
5970 1 1
5985 1 1
6000 1 1
6015 1 1
6030 1 1
6045 1 1
6060 1 1
6075 1 1
6090 1 1
6105 1 1
6120 1 1
6135 1 1
6150 1 1
6165 1 1
6180 1 1
6195 1 1
6210 1 1
6225 1 1
6240 1 1
6255 1 1
6270 1 1
6285 1 1
6300 1 1
6315 1 1
6330 1 1
6345 1 1
6360 1 1
6375 1 1
6390 1 1
6405 1 1
6420 1 1
6435 1 1
6450 1 1
6465 1 1
6480 1 1
6495 1 1
6510 1 1
6525 1 1
6540 1 1
6555 1 1
6570 1 1
6585 1 1
6600 1 1
6615 1 1
6630 1 1
6645 1 1
6660 1 1
6675 1 1
6690 1 1
6705 1 1
6720 1 1
6735 1 1
6750 1 1
6765 1 1
6780 1 1
6795 1 1
6810 1 1
6825 1 1
6840 1 1
6855 1 1
6870 1 1
6885 1 1
6900 1 1
6915 1 1
6930 1 1
6945 1 1
6960 1 1
6975 1 1
6990 1 1
7005 1 1
7020 1 1
7035 1 1
7050 1 1
7065 1 1
7080 1 1
7095 1 1
7110 1 1
7125 1 1
7140 1 1
7155 1 1
7170 1 1
7185 1 1
7200 1 1
7215 1 1
7230 1 1
7245 1 1
7260 1 1
7275 1 1
7290 1 1
7305 1 1
7320 1 1
7335 1 1
7350 1 1
7365 1 1
7380 1 1
7395 1 1
7410 1 1
7425 1 1
7440 1 1
7455 1 1
7470 1 1
7485 1 1
7500 1 1
7515 1 1
7530 1 1
7545 1 1
7560 1 1
7575 1 1
7590 1 1
7605 1 1
7620 1 1
7635 1 1
7650 1 1
7665 1 1
7680 1 1
7695 1 1
7710 1 1
7725 1 1
7740 1 1
7755 1 1
7770 1 1
7785 1 1
7800 1 1
7815 1 1
7830 1 1
7845 1 1
7860 1 1
7875 1 1
7890 1 1
7905 1 1
7920 1 1
7935 1 1
7950 1 1
7965 1 1
7980 1 1
7995 1 1
8010 1 1
8025 1 1
8040 1 1
8055 1 1
8070 1 1
8085 1 1
8100 1 1
8115 1 1
8130 1 1
8145 1 1
8160 1 1
8175 1 1
8190 1 1
8205 1 1
8220 1 1
8235 1 1
8250 1 1
8265 1 1
8280 1 1
8295 1 1
8310 1 1
8325 1 1
8340 1 1
8355 1 1
8370 1 1
8385 1 1
8400 1 1
8415 1 1
8430 1 1
8445 1 1
8460 1 1
8475 1 1
8490 1 1
8505 1 1
8520 1 1
8535 1 1
8550 1 1
8565 1 1
8580 1 1
8595 1 1
8610 1 1
8625 1 1
8640 1 1
8655 1 1
8670 1 1
8685 1 1
8700 1 1
8715 1 1
8730 1 1
8745 1 1
8760 1 1
8775 1 1
8790 1 1
8805 1 1
8820 1 1
8835 1 1
8850 1 1
8865 1 1
8880 1 1
8895 1 1
8910 1 1
8925 1 1
8940 1 1
8955 1 1
8970 1 1
8985 1 1
9000 1 1
9015 1 1
9030 1 1
9045 1 1
9060 1 1
9075 1 1
9090 1 1
9105 1 1
9120 1 1
9135 1 1
9150 1 1
9165 1 1
9180 1 1
9195 1 1
9210 1 1
9225 1 1
9240 1 1
9255 1 1
9270 1 1
9285 1 1
9300 1 1
9315 1 1
9330 1 1
9345 1 1
9360 1 1
9375 1 1
9390 1 1
9405 1 1
9420 1 1
9435 1 1
9450 1 1
9465 1 1
9480 1 1
9495 1 1
9510 1 1
9525 1 1
9540 1 1
9555 1 1
9570 1 1
9585 1 1
9600 1 1
9615 1 1
9630 1 1
9645 1 1
9660 1 1
9675 1 1
9690 1 1
9705 1 1
9720 1 1
9735 1 1
9750 1 1
9765 1 1
9780 1 1
9795 1 1
9810 1 1
9825 1 1
9840 1 1
9855 1 1
9870 1 1
9885 1 1
9900 1 1
9915 1 1
9930 1 1
9945 1 1
9960 1 1
9975 1 1
9990 1 1
10005 1 1
10020 1 1
10035 1 1
10050 1 1
10065 1 1
10080 1 1
10095 1 1
10110 1 1
10125 1 1
10140 1 1
10155 1 1
10170 1 1
10185 1 1
10200 1 1
10215 1 1
10230 1 1
10245 1 1
10260 1 1
10275 1 1
10290 1 1
10305 1 1
10320 1 1
10335 1 1
10350 1 1
10365 1 1
10380 1 1
10395 1 1
